replication,country_balance,physical_balance,scale_gap,direction_reversal
183,-0.3936842105,-0.6824833283,0.2887991178,False
184,-0.1789473684,-0.3672068232,0.1882594547,False
185,-0.3305263158,-0.5233771233,0.1928508075,False
186,-0.3178947368,-0.6762530637,0.3583583268,False
187,-0.3010526316,-0.6808425924,0.3797899608,False
188,-0.1621052632,-0.05630192623,-0.1058033369,False
189,-0.1747368421,-0.1918738916,0.01713704953,False
190,-0.1831578947,-0.1120746964,-0.07108319831,False
191,-0.3094736842,-0.6086019819,0.2991282976,False
192,-0.2210526316,-0.256497347,0.03544471541,False
193,-0.28,-0.3470378803,0.06703788028,False
194,-0.3305263158,-0.6553792762,0.3248529605,False
195,-0.2968421053,-0.7486024993,0.4517603941,False
196,-0.3221052632,-0.8195912586,0.4974859954,False
197,-0.1494736842,-0.07890069914,-0.07057298507,False
198,-0.1705263158,-0.1272729684,-0.04325334742,False
199,-0.1873684211,-0.1042870503,-0.0830813708,False
200,-0.2926315789,-0.3613666636,0.06873508465,False
201,-0.3136842105,-0.7186734275,0.404989217,False
202,-0.2589473684,-0.5868966492,0.3279492808,False
203,-0.3642105263,-0.6822048168,0.3179942905,False
204,-0.3389473684,-0.7432127451,0.4042653767,False
205,-0.1831578947,-0.2299776095,0.04681971479,False
206,-0.3978947368,-0.6090642359,0.2111694991,False
207,-0.2673684211,-0.6663960314,0.3990276103,False
208,-0.2,-0.3325716979,0.1325716979,False
209,-0.3305263158,-0.7206107993,0.3900844835,False
210,-0.3726315789,-0.5216431575,0.1490115786,False
211,-0.2,-0.5249286773,0.3249286773,False
212,-0.1789473684,-0.5251084955,0.3461611271,False
213,-0.2757894737,-0.3098333976,0.03404392391,False
214,-0.2589473684,-0.2436202414,-0.01532712705,False
215,-0.1705263158,-0.597037612,0.4265112962,False
216,-0.3263157895,-0.548239093,0.2219233036,False
217,-0.2378947368,-0.6322296674,0.3943349305,False
218,-0.2757894737,-0.5442586453,0.2684691716,False
219,-0.3178947368,-0.6943559293,0.3764611925,False
220,-0.2715789474,-0.2606743511,-0.01090459622,False
221,-0.3263157895,-0.5943416447,0.2680258553,False
222,-0.2547368421,-0.7198272809,0.4650904387,False
223,-0.3052631579,-0.7113454806,0.4060823227,False
224,-0.2294736842,-0.5876158386,0.3581421544,False
